"Year","Month","Day","HOUR","MINUTE","Avg_price","sum_amount"
2022,10,18,10,3,19536.929892086348,6.189933500000
2022,10,18,10,4,19536.606984615384,8.837146859999
2022,10,18,10,5,19537.71110854505,14.506902339999
2022,10,18,10,6,19534.692251655644,7.822023499999
2022,10,18,10,7,19524.721111111106,27.604131940000
2022,10,18,10,8,19518.04836283186,4.768091229999
2022,10,18,10,9,19517.71460905349,4.319607169999
2022,10,18,10,10,19514.474824561396,6.599982310000
2022,10,18,10,11,19512.450749185686,4.091568599999
2022,10,18,10,12,19510.97417266184,3.849759559999
2022,10,18,10,13,19522.83429824562,12.43232407
2022,10,18,10,14,19531.85492500003,10.303571249999
2022,10,18,10,15,19534.059797570837,5.431584190000
2022,10,18,10,16,19525.243999999988,4.564990879999
2022,10,18,10,17,19524.536403508777,3.75179521
2022,10,18,10,18,19527.313021276615,3.333546009999
2022,10,18,10,19,19523.821148325376,2.190172169999
2022,10,18,10,20,19531.890286532947,6.306327230000
2022,10,18,10,21,19535.402392026575,14.986240839999
2022,10,18,10,22,19537.401899441313,8.22034611
2022,10,18,10,23,19551.128789062488,4.019393169999
2022,10,18,10,24,19555.219355742323,4.006807419999
2022,10,18,10,25,19549.373770114915,7.519227120000
2022,10,18,10,26,19551.653,6.380952349999
2022,10,18,10,27,19559.241154684107,9.677293159999
2022,10,18,10,28,19563.288764705896,7.744845400000
2022,10,18,10,29,19555.28146258505,2.347388169999
2022,10,18,10,30,19551.7521409214,4.999136179999
2022,10,18,10,31,19546.8343438914,8.520582829999
2022,10,18,10,32,19549.704255319146,2.856855259999
2022,10,18,10,33,19549.792488888885,2.585868779999
2022,10,18,10,34,19551.622400000007,7.551851630000
2022,10,18,10,35,19553.641028938924,3.62163977
2022,10,18,10,36,19575.20302191466,57.150770459999
2022,10,18,10,37,19579.75238361266,24.941689199999
2022,10,18,10,38,19571.7008616188,12.194095959999
2022,10,18,10,39,19575.613193277328,3.292161929999
2022,10,18,10,40,19572.076575875493,25.35226152
2022,10,18,10,41,19566.232347560985,6.161450250000
2022,10,18,10,42,19566.00343949044,4.148800259999
2022,10,18,10,43,19569.17340625001,7.093315090000
2022,10,18,10,44,19562.127337662332,7.982688859999
2022,10,18,10,45,19564.556269230754,3.48860834
2022,10,18,10,46,19563.751985559575,3.205931699999
2022,10,18,10,47,19558.7887704918,9.878843439999
2022,10,18,10,48,19548.371785714273,6.728391790000
2022,10,18,10,49,19543.823186119887,4.769372259999
2022,10,18,10,50,19543.23068181818,12.107250379999
2022,10,18,10,51,19539.573090128757,6.039978670000
2022,10,18,10,52,19534.921804733727,6.749984369999
2022,10,18,10,53,19537.59513586955,3.619352699999
2022,10,18,10,54,19542.48878289474,5.875564950000
2022,10,18,10,55,19545.337737556554,2.697517959999
2022,10,18,10,56,19540.738135593256,1.390212949999
2022,10,18,10,57,19534.666730310273,18.577710659999
2022,10,18,10,58,19529.632282608698,2.150347549999
2022,10,18,10,59,19530.702269503545,8.640045849999
2022,10,18,11,0,19538.925471264378,14.369792140000
2022,10,18,11,1,19540.903971014483,23.141237500000
2022,10,18,11,2,19543.64208571429,4.763200779999
2022,10,18,11,3,19550.66087336246,20.158474510000
2022,10,18,11,4,19552.857915407836,12.148366059999
2022,10,18,11,5,19551.963670886067,10.089596890000
2022,10,18,11,6,19556.023441396504,14.479016989999
2022,10,18,11,7,19545.047975986265,34.030312450000
2022,10,18,11,8,19536.71566964285,14.093309709999
2022,10,18,11,9,19538.284197530855,9.714885479999
2022,10,18,11,10,19536.336959619963,11.777178509999
2022,10,18,11,11,19543.41937728938,8.74470403
2022,10,18,11,12,19542.769404761908,10.627307320000
2022,10,18,11,13,19540.083885869564,8.799180670000
2022,10,18,11,14,19533.16331564987,13.847527929999
2022,10,18,11,15,19534.41469696972,7.202870320000
2022,10,18,11,16,19535.72011396011,8.346262079999
2022,10,18,11,17,19535.03177595626,9.786152629999
2022,10,18,11,18,19538.294486215553,5.961254869999
2022,10,18,11,19,19535.985899999985,11.262780739999
2022,10,18,11,20,19542.28363905325,7.26700226
2022,10,18,11,21,19552.463028571412,15.564221149999
2022,10,18,11,22,19557.01903083699,5.396437440000
2022,10,18,11,23,19557.4407823961,16.594118359999
2022,10,18,11,24,19560.61566929134,14.689954509999
2022,10,18,11,25,19555.21183222959,19.519761110000
2022,10,18,11,26,19553.77917355371,12.489750679999
2022,10,18,11,27,19555.42843853821,5.243041779999
2022,10,18,11,28,19555.08917127073,9.862085910000
2022,10,18,11,29,19557.087661016936,9.701995020000
2022,10,18,11,30,19565.335046082953,17.565106379999
2022,10,18,11,31,19572.8821019108,18.665684509999
2022,10,18,11,32,19575.174582392763,11.414050579999
2022,10,18,11,33,19569.174401294502,10.064974850000
2022,10,18,11,34,19572.342379248712,28.378556100000
2022,10,18,11,35,19568.1360911271,20.854217019999
2022,10,18,11,36,19570.887916666674,9.838360959999
2022,10,18,11,37,19564.63383512544,9.725190709999
2022,10,18,11,38,19570.706066666673,6.090874679999
2022,10,18,11,39,19571.942865013785,9.072249909999
2022,10,18,11,40,19579.69924959213,24.957132870000
2022,10,18,11,41,19583.152168674696,16.589130959999
2022,10,18,11,42,19589.745261261276,19.936720810000
2022,10,18,11,43,19584.898585607923,15.10816585
2022,10,18,11,44,19578.046428571404,18.607369060000
2022,10,18,11,45,19577.280124481327,27.186106380000
2022,10,18,11,46,19580.328783382807,11.659208929999
2022,10,18,11,47,19585.00835227274,7.613380340000
2022,10,18,11,48,19589.689646569637,23.035410210000
